applicant_id,age,income,employment_length,loan_amount,credit_score,existing_debt,num_credit_accounts,credit_history_years,num_late_payments,home_ownership,loan_purpose,default
APP100000,25,20963.49,28.0,6490.87,671.0,1951.33,4,17,0,OWN,car,0
APP100001,58,27704.3,4.0,14798.05,503.0,8802.45,6,24,1,OWN,car,0
APP100002,53,41606.04,9.0,22494.8,762.0,2200.52,2,26,1,OWN,debt_consolidation,0
APP100003,42,26524.92,30.0,20338.62,,7955.8,11,17,2,RENT,car,1
APP100004,42,31596.98,32.0,12234.02,611.0,1430.14,6,10,0,OWN,home_improvement,0
APP100005,63,45282.65,6.0,9373.5,540.0,7585.61,10,15,1,RENT,credit_card,1
APP100006,25,30504.02,35.0,28039.63,647.0,4530.12,7,26,1,MORTGAGE,home_improvement,0
APP100007,55,40661.21,34.0,9989.03,628.0,5309.45,2,9,3,RENT,credit_card,1
APP100008,30,80528.32,34.0,17399.78,795.0,10584.59,9,29,3,RENT,credit_card,0
APP100009,25,33325.25,9.0,32047.32,718.0,2548.15,11,13,2,MORTGAGE,credit_card,0
APP100010,46,65491.06,26.0,16336.56,,4817.25,6,21,0,MORTGAGE,debt_consolidation,0
APP100011,68,48034.99,6.0,5441.15,516.0,6264.42,10,5,2,MORTGAGE,credit_card,1
APP100012,57,17437.51,7.0,4705.97,467.0,3869.15,14,29,2,OWN,business,1
APP100013,58,20929.85,2.0,8278.54,567.0,8720.5,3,22,0,OWN,credit_card,1
APP100014,56,23937.51,19.0,15149.15,543.0,6398.74,13,26,0,RENT,debt_consolidation,0
APP100015,59,23684.65,28.0,12924.39,677.0,3090.4,4,23,3,MORTGAGE,credit_card,0
APP100016,46,34712.5,7.0,37206.89,638.0,13474.92,0,12,0,MORTGAGE,debt_consolidation,1
APP100017,27,49381.05,7.0,12849.16,651.0,7704.17,6,7,0,MORTGAGE,home_improvement,1
APP100018,62,68021.51,11.0,8131.78,574.0,2504.75,12,24,1,MORTGAGE,car,1
APP100019,43,42365.41,7.0,5014.03,662.0,2484.74,10,17,1,RENT,credit_card,1
APP100020,45,29061.23,33.0,20095.73,536.0,4123.22,4,7,0,OWN,debt_consolidation,1
APP100021,39,12821.51,6.0,9861.2,642.0,7030.29,14,8,1,OWN,business,1
APP100022,29,37620.14,11.0,4009.08,716.0,836.52,14,5,0,RENT,car,0
APP100023,66,36786.46,12.0,10030.21,620.0,2590.46,14,29,1,RENT,other,1
APP100024,59,39793.72,8.0,5445.57,685.0,3096.47,8,21,0,OWN,car,1
APP100025,52,104101.34,37.0,7666.52,491.0,1556.0,10,8,0,MORTGAGE,business,0
APP100026,40,67528.05,8.0,9933.97,485.0,2170.23,7,6,1,RENT,business,1
APP100027,61,53773.2,19.0,5749.64,676.0,5485.38,6,25,1,MORTGAGE,debt_consolidation,0
APP100028,47,22448.1,22.0,7386.62,733.0,3323.82,7,21,2,OWN,other,0
APP100029,42,28099.38,10.0,6332.99,630.0,3539.49,1,21,1,RENT,debt_consolidation,1
APP100030,43,34633.53,18.0,6435.77,821.0,1631.23,2,1,2,RENT,other,0
APP100031,32,24644.19,6.0,5405.58,534.0,4143.05,8,28,0,RENT,car,0
APP100032,25,46640.86,19.0,7408.19,595.0,1475.49,6,13,1,OWN,car,0
APP100033,48,43410.4,0.0,5785.91,661.0,15791.45,7,21,1,MORTGAGE,debt_consolidation,0
APP100034,64,21075.07,17.0,14072.12,,19824.27,13,5,2,OWN,credit_card,1
APP100035,24,66065.92,14.0,11164.34,603.0,3365.96,10,18,1,MORTGAGE,debt_consolidation,0
APP100036,63,38221.57,14.0,20268.62,565.0,2002.29,1,2,1,MORTGAGE,debt_consolidation,1
APP100037,61,15297.8,4.0,30700.13,699.0,9736.94,14,13,2,MORTGAGE,business,1
APP100038,34,35395.1,39.0,14859.51,660.0,7894.26,12,7,0,MORTGAGE,credit_card,0
APP100039,51,41797.98,1.0,12961.68,622.0,22021.98,2,14,2,MORTGAGE,other,1
APP100040,29,59065.14,5.0,15432.06,689.0,27251.45,12,26,0,MORTGAGE,home_improvement,0
APP100041,58,30676.8,4.0,13094.57,639.0,971.22,5,0,1,OWN,debt_consolidation,0
APP100042,55,54938.47,39.0,10199.76,638.0,12418.31,5,13,5,OWN,credit_card,1
APP100043,38,39877.64,12.0,9724.51,635.0,4113.35,8,29,0,RENT,credit_card,0
APP100044,24,18816.19,17.0,5361.49,584.0,7625.63,13,29,3,OWN,credit_card,1
APP100045,68,17897.51,30.0,16372.39,576.0,9157.04,5,17,0,MORTGAGE,home_improvement,1
APP100046,42,63657.98,2.0,9713.03,607.0,8854.95,8,19,1,OWN,debt_consolidation,1
APP100047,64,66038.43,2.0,23616.75,652.0,10941.25,2,17,3,MORTGAGE,credit_card,1
APP100048,54,42678.67,7.0,17138.48,500.0,3139.39,1,13,3,OWN,other,1
APP100049,59,76715.06,27.0,6798.31,725.0,2293.18,8,5,0,MORTGAGE,credit_card,0
APP100050,58,61593.09,39.0,20910.67,651.0,12702.2,3,24,0,RENT,credit_card,1
APP100051,30,51114.03,24.0,2129.31,564.0,2447.0,0,12,1,MORTGAGE,credit_card,1
APP100052,38,23025.19,34.0,31512.37,779.0,21788.09,0,26,1,OWN,debt_consolidation,0
APP100053,43,86311.18,35.0,4433.45,653.0,2666.44,5,6,1,OWN,credit_card,0
APP100054,45,47484.12,11.0,13320.6,543.0,3623.99,3,5,1,OWN,debt_consolidation,1
APP100055,23,29943.89,7.0,12790.39,775.0,4220.34,14,6,2,RENT,debt_consolidation,1
APP100056,47,26000.34,6.0,19423.33,758.0,1432.46,7,19,1,MORTGAGE,car,0
APP100057,28,41290.67,31.0,8125.66,577.0,1435.77,7,16,2,RENT,car,1
APP100058,57,15748.03,26.0,2731.73,624.0,10194.74,2,19,0,MORTGAGE,debt_consolidation,1
APP100059,54,51525.73,34.0,8132.53,613.0,1241.37,1,7,0,RENT,debt_consolidation,0
APP100060,66,22543.78,20.0,8677.62,498.0,36891.27,4,10,1,OWN,other,1
APP100061,57,43708.77,39.0,2894.26,675.0,4558.27,12,19,2,RENT,business,0
APP100062,38,27978.45,35.0,10170.26,717.0,2157.11,9,15,0,RENT,credit_card,0
APP100063,68,31818.1,32.0,5190.0,702.0,6878.63,2,11,0,OWN,home_improvement,0
APP100064,41,24873.17,32.0,14609.85,652.0,685.72,0,9,3,RENT,debt_consolidation,1
APP100065,36,,4.0,8538.6,725.0,3763.65,3,11,3,MORTGAGE,credit_card,1
APP100066,65,93404.03,29.0,32101.46,559.0,4170.23,4,8,0,OWN,credit_card,1
APP100067,39,72586.18,,8487.02,795.0,1784.75,14,21,2,MORTGAGE,debt_consolidation,0
APP100068,24,43357.7,11.0,12813.25,588.0,2964.83,2,4,0,OWN,debt_consolidation,0
APP100069,44,35859.11,32.0,8709.39,597.0,16660.88,11,20,1,MORTGAGE,car,1
APP100070,59,55387.02,14.0,3737.0,603.0,5690.77,5,2,0,MORTGAGE,debt_consolidation,1
APP100071,30,63894.28,8.0,8753.18,598.0,6765.38,4,12,4,MORTGAGE,credit_card,1
APP100072,43,23982.77,29.0,15553.61,634.0,2618.98,3,14,0,MORTGAGE,other,0
APP100073,27,34936.26,,14202.79,631.0,1704.93,9,27,1,OWN,home_improvement,0
APP100074,54,14603.56,19.0,8300.24,660.0,4052.75,10,19,2,RENT,debt_consolidation,0
APP100075,44,63675.24,37.0,4129.64,584.0,688.08,7,9,1,MORTGAGE,debt_consolidation,0
APP100076,37,101977.97,6.0,14569.35,663.0,2043.77,14,11,0,MORTGAGE,debt_consolidation,0
APP100077,32,37799.13,6.0,12729.69,,1804.43,13,21,1,MORTGAGE,business,1
APP100078,48,12550.24,37.0,16416.57,708.0,961.97,11,26,0,RENT,car,0
APP100079,53,49239.2,31.0,8396.18,707.0,8261.6,8,23,2,MORTGAGE,credit_card,0
APP100080,67,23108.49,18.0,3602.47,649.0,4427.52,7,27,0,RENT,debt_consolidation,1
APP100081,42,26064.39,16.0,13633.1,598.0,2993.7,9,6,3,MORTGAGE,car,1
APP100082,28,49676.55,38.0,9842.99,674.0,8406.94,8,14,3,MORTGAGE,car,1
APP100083,61,41244.67,28.0,22811.28,578.0,1318.94,2,14,2,RENT,credit_card,0
APP100084,51,28451.2,36.0,10069.23,652.0,1677.63,9,12,1,MORTGAGE,debt_consolidation,1
APP100085,55,26244.12,3.0,9630.78,637.0,12014.39,3,0,1,OWN,home_improvement,1
APP100086,25,38673.81,21.0,12712.65,850.0,30489.13,11,6,2,MORTGAGE,credit_card,0
APP100087,36,29592.23,29.0,6917.72,551.0,8496.26,0,9,1,OWN,business,1
APP100088,58,20855.68,1.0,6720.5,436.0,7167.11,0,12,0,MORTGAGE,car,1
APP100089,61,30752.25,20.0,9332.54,598.0,3085.64,8,8,0,OWN,credit_card,1
APP100090,42,43036.17,2.0,5697.35,512.0,3142.92,11,10,3,OWN,debt_consolidation,1
APP100091,60,33221.36,36.0,8626.06,591.0,5894.74,8,23,1,OWN,business,0
APP100092,62,17912.35,27.0,31689.38,546.0,14739.98,2,9,0,MORTGAGE,other,1
APP100093,39,59547.66,7.0,18501.0,577.0,6913.52,4,6,1,MORTGAGE,credit_card,1
APP100094,65,9233.51,20.0,11906.3,564.0,10576.25,6,13,1,MORTGAGE,debt_consolidation,1
APP100095,35,29051.27,4.0,25109.62,727.0,2361.42,3,0,0,MORTGAGE,car,0
APP100096,32,26632.85,32.0,6033.38,646.0,8050.91,14,6,1,OWN,debt_consolidation,1
APP100097,54,39108.28,7.0,44102.15,736.0,2872.46,6,0,2,RENT,car,1
