transaction_id,user_id,amount,timestamp,merchant_category,location,device_type,hour_of_day,is_weekend,distance_from_home,is_fraud
TXN1049724,2986,31.32,2025-01-01 00:00:00,utilities,domestic,mobile,22,1,103.13,0
TXN1020331,1974,10.69,2025-01-01 00:08:00,gas_station,domestic,web,0,1,11.59,0
TXN1013367,1804,4.17,2025-01-01 00:18:00,grocery,domestic,web,13,0,43.13,0
TXN1019533,1675,4.97,2025-01-01 00:20:00,restaurant,domestic,web,6,1,37.4,0
TXN1018326,2829,22.57,2025-01-01 00:22:00,electronics,domestic,mobile,11,0,86.17,0
TXN1048588,2446,87.2,2025-01-01 00:23:00,online_retail,domestic,mobile,13,0,37.4,0
TXN1028219,761,154.79,2025-01-01 00:34:00,restaurant,domestic,mobile,0,0,21.67,0
TXN1044890,2697,258.27,2025-01-01 00:38:00,travel,domestic,mobile,5,1,17.8,0
TXN1042512,2361,42.07,2025-01-01 00:50:00,travel,domestic,mobile,8,0,12.25,0
TXN1029891,1928,13.6,2025-01-01 00:54:00,electronics,domestic,mobile,17,1,1.76,0
TXN1011534,1953,9.32,2025-01-01 00:55:00,entertainment,domestic,pos,2,1,50.53,0
TXN1032102,969,2.21,2025-01-01 00:55:00,online_retail,domestic,web,7,0,61.96,0
TXN1006060,904,15.44,2025-01-01 01:02:00,utilities,domestic,pos,0,0,70.05,0
TXN1043033,1793,39.67,2025-01-01 01:04:00,grocery,international,web,6,1,32.1,0
TXN1012324,1861,47.63,2025-01-01 01:09:00,online_retail,domestic,mobile,9,1,44.25,0
TXN1048534,2567,13.36,2025-01-01 01:14:00,restaurant,domestic,web,4,1,8.37,0
TXN1046236,2343,17.4,2025-01-01 01:14:00,utilities,domestic,web,2,0,18.08,0
TXN1024439,2254,91.6,2025-01-01 01:17:00,online_retail,domestic,web,18,1,7.51,0
TXN1047249,1705,15.83,2025-01-01 01:24:00,electronics,international,web,7,0,4.3,0
TXN1048238,2203,35.48,2025-01-01 01:28:00,restaurant,domestic,mobile,17,0,0.7,0
TXN1010526,1653,13.97,2025-01-01 01:31:00,travel,domestic,web,13,0,6.22,0
TXN1037998,1486,158.7,2025-01-01 01:32:00,online_retail,domestic,mobile,12,0,68.4,1
TXN1034445,2741,201.92,2025-01-01 01:34:00,entertainment,domestic,web,22,0,33.44,0
TXN1003531,1190,61.15,2025-01-01 01:41:00,electronics,international,mobile,8,0,33.53,0
TXN1005331,2767,35.31,2025-01-01 02:07:00,restaurant,domestic,pos,11,1,30.78,0
TXN1044188,2756,56.84,2025-01-01 02:13:00,utilities,domestic,web,6,1,70.98,0
TXN1002686,1617,5.8,2025-01-01 02:16:00,electronics,international,pos,5,1,43.05,0
TXN1010809,486,669.53,2025-01-01 02:17:00,gas_station,domestic,web,4,0,4.29,1
TXN1034524,2118,12.66,2025-01-01 02:22:00,electronics,domestic,mobile,5,1,10.51,0
TXN1039596,1367,7.81,2025-01-01 02:23:00,online_retail,domestic,web,13,0,38.0,0
TXN1017438,2598,14.66,2025-01-01 02:28:00,entertainment,domestic,mobile,15,1,45.0,0
TXN1029561,691,3.21,2025-01-01 02:36:00,restaurant,domestic,pos,17,1,54.92,1
TXN1025665,2341,12.64,2025-01-01 02:42:00,grocery,domestic,mobile,2,1,21.41,0
TXN1031657,1477,29.84,2025-01-01 02:51:00,restaurant,domestic,web,5,1,39.76,0
TXN1026605,2007,869.39,2025-01-01 03:01:00,gas_station,domestic,mobile,4,1,23.55,1
TXN1023200,2510,167.74,2025-01-01 03:07:00,utilities,domestic,web,9,0,17.45,0
TXN1037534,1013,22.27,2025-01-01 03:21:00,gas_station,domestic,web,17,0,0.65,0
TXN1000473,1619,32.23,2025-01-01 03:24:00,restaurant,domestic,pos,7,0,2.26,0
TXN1005607,1929,47.68,2025-01-01 03:28:00,electronics,domestic,web,8,0,11.24,0
TXN1036891,580,17.13,2025-01-01 03:29:00,restaurant,domestic,pos,14,0,17.43,0
TXN1035989,2124,13.58,2025-01-01 03:29:00,grocery,domestic,web,19,0,119.05,1
TXN1013248,2294,13.52,2025-01-01 03:30:00,travel,domestic,web,10,1,22.92,0
TXN1003562,1105,17.06,2025-01-01 03:31:00,utilities,domestic,web,3,0,53.45,0
TXN1011481,1175,63.57,2025-01-01 03:38:00,travel,domestic,web,23,1,18.65,0
TXN1014688,2599,90.06,2025-01-01 03:41:00,grocery,domestic,web,0,1,2.3,0
TXN1043427,464,28.51,2025-01-01 03:43:00,online_retail,domestic,pos,22,1,14.76,0
TXN1039430,2478,10.95,2025-01-01 03:50:00,online_retail,international,mobile,8,1,17.18,0
TXN1013878,1739,31.66,2025-01-01 03:51:00,gas_station,domestic,mobile,19,1,12.17,0
TXN1004468,615,20.19,2025-01-01 03:52:00,grocery,international,pos,7,1,12.64,0
TXN1024103,2179,34.83,2025-01-01 03:56:00,entertainment,domestic,mobile,14,0,4.25,0
TXN1025724,2578,11.98,2025-01-01 04:01:00,gas_station,domestic,web,10,0,31.21,0
TXN1035666,1138,30.25,2025-01-01 04:24:00,electronics,domestic,mobile,18,0,22.01,0
TXN1034127,1830,685.92,2025-01-01 04:40:00,entertainment,domestic,web,17,1,17.22,1
TXN1020375,2694,26.27,2025-01-01 04:46:00,entertainment,domestic,mobile,8,0,41.94,0
TXN1018101,1204,71.78,2025-01-01 04:57:00,gas_station,international,web,23,0,49.13,1
TXN1009087,119,48.84,2025-01-01 04:57:00,travel,international,web,22,1,49.75,0
TXN1049542,1989,13.63,2025-01-01 05:06:00,online_retail,domestic,mobile,9,1,14.75,0
TXN1010048,775,14.37,2025-01-01 05:06:00,online_retail,domestic,mobile,1,0,0.88,0
TXN1015540,537,16.77,2025-01-01 05:07:00,electronics,domestic,pos,19,1,18.91,0
TXN1022935,2533,36.33,2025-01-01 05:13:00,electronics,domestic,pos,3,0,20.14,0
TXN1044703,903,11.96,2025-01-01 05:14:00,utilities,domestic,web,23,1,72.9,0
TXN1001257,2867,2319.54,2025-01-01 05:21:00,entertainment,domestic,web,13,0,49.17,1
TXN1034033,525,116.77,2025-01-01 05:23:00,utilities,domestic,web,12,1,8.76,0
TXN1044850,2348,72.19,2025-01-01 05:27:00,grocery,domestic,mobile,21,0,53.98,0
TXN1010380,1459,98.23,2025-01-01 05:30:00,utilities,domestic,mobile,6,0,44.97,0
TXN1022396,1327,79.78,2025-01-01 05:32:00,restaurant,domestic,mobile,21,0,21.85,0
TXN1020653,348,12.77,2025-01-01 05:36:00,gas_station,domestic,mobile,19,1,44.34,0
TXN1000647,2730,56.98,2025-01-01 05:38:00,electronics,domestic,mobile,10,0,60.4,0
TXN1037437,236,37.03,2025-01-01 05:40:00,grocery,domestic,mobile,17,1,38.74,0
TXN1044770,2915,108.56,2025-01-01 05:40:00,travel,domestic,web,11,1,10.07,0
TXN1026405,142,50.65,2025-01-01 05:44:00,travel,domestic,mobile,19,0,24.41,0
TXN1033798,721,129.04,2025-01-01 05:47:00,online_retail,domestic,web,18,0,3.2,0
TXN1017931,2164,20.88,2025-01-01 05:48:00,utilities,domestic,mobile,2,0,46.29,0
TXN1038846,475,25.68,2025-01-01 05:49:00,travel,domestic,pos,11,1,21.69,0
TXN1012834,1736,71.38,2025-01-01 05:56:00,utilities,domestic,web,1,1,34.79,0
TXN1005323,2458,147.43,2025-01-01 06:10:00,restaurant,domestic,mobile,17,1,23.48,0
TXN1007367,2845,1.17,2025-01-01 06:10:00,travel,domestic,mobile,2,1,29.68,0
TXN1020124,551,29.78,2025-01-01 06:11:00,entertainment,domestic,web,13,0,4.16,0
TXN1024206,113,70.45,2025-01-01 06:12:00,travel,domestic,mobile,0,0,56.3,0
TXN1014838,153,4.31,2025-01-01 06:21:00,utilities,domestic,pos,4,1,49.18,0
TXN1013762,368,8.34,2025-01-01 06:22:00,restaurant,domestic,mobile,12,1,14.93,0
TXN1036204,1929,76.55,2025-01-01 06:22:00,online_retail,domestic,pos,1,1,9.86,0
TXN1017008,2297,10.85,2025-01-01 06:27:00,gas_station,domestic,web,16,0,8.61,0
TXN1032571,1802,158.81,2025-01-01 06:30:00,gas_station,domestic,web,14,1,4.55,0
TXN1038040,1079,251.27,2025-01-01 06:33:00,travel,domestic,mobile,1,1,83.45,1
TXN1038589,31,21.04,2025-01-01 06:42:00,electronics,domestic,pos,16,0,21.6,0
TXN1031308,529,46.76,2025-01-01 06:44:00,utilities,domestic,web,11,1,1.59,0
TXN1039392,1807,19.77,2025-01-01 06:50:00,entertainment,international,mobile,19,1,98.98,0
TXN1022683,1351,7.91,2025-01-01 06:53:00,online_retail,domestic,web,9,0,6.54,0
TXN1004602,1613,35.71,2025-01-01 07:19:00,gas_station,domestic,pos,22,0,45.94,0
TXN1026980,1181,32.48,2025-01-01 07:21:00,online_retail,domestic,mobile,23,1,81.66,0
TXN1023202,1959,26.19,2025-01-01 07:22:00,online_retail,domestic,mobile,17,0,74.57,0
TXN1040797,2108,10.4,2025-01-01 07:25:00,restaurant,domestic,web,13,0,25.59,0
TXN1034860,1155,39.06,2025-01-01 07:26:00,travel,domestic,mobile,15,1,41.99,0
TXN1011815,2679,111.58,2025-01-01 07:30:00,grocery,domestic,mobile,2,1,32.57,0
TXN1019921,431,45.12,2025-01-01 07:39:00,entertainment,domestic,pos,17,1,42.75,0
TXN1010095,2892,21.27,2025-01-01 07:42:00,travel,domestic,web,10,0,0.76,0
TXN1041896,2292,93.52,2025-01-01 07:46:00,electronics,domestic,mobile,2,0,31.69,0
TXN1005025,1738,5.41,2025-01-01 07:57:00,grocery,domestic,mobile,2,0,26.44,0
TXN1045465,2440,133.65,2025-01-01 08:04:00,restaurant,domestic,pos,11,1,35.43,0
TXN1046199,1102,62.79,2025-01-01 08:16:00,utilities,domestic,mobile,23,1,33.51,0
TXN1003048,142,88.87,2025-01-01 08:21:00,gas_station,domestic,web,20,0,18.04,0
TXN1022243,1926,62.26,2025-01-01 08:25:00,gas_station,domestic,mobile,20,1,48.73,0
TXN1003901,2625,38.91,2025-01-01 08:28:00,utilities,domestic,mobile,3,0,45.91,0
TXN1031564,1100,250.28,2025-01-01 08:31:00,electronics,domestic,web,13,1,84.8,1
TXN1011350,2618,18.5,2025-01-01 08:38:00,entertainment,domestic,web,6,0,38.3,0
TXN1028415,1404,5.73,2025-01-01 08:47:00,gas_station,domestic,mobile,1,1,18.75,0
TXN1037125,1936,25.07,2025-01-01 09:01:00,travel,domestic,pos,1,1,47.97,0
TXN1040778,2985,19.43,2025-01-01 09:14:00,restaurant,domestic,web,11,0,38.22,1
TXN1008750,322,13.21,2025-01-01 09:14:00,online_retail,domestic,mobile,17,1,13.57,0
TXN1022908,1737,13.32,2025-01-01 09:15:00,travel,domestic,web,10,1,35.38,0
TXN1041407,1615,100.22,2025-01-01 09:19:00,gas_station,domestic,web,1,0,14.71,0
TXN1039971,499,248.7,2025-01-01 09:24:00,grocery,domestic,web,2,1,65.09,0
TXN1028824,1963,81.18,2025-01-01 09:26:00,travel,domestic,mobile,8,1,76.69,0
TXN1034071,2539,12.69,2025-01-01 09:37:00,grocery,domestic,web,17,0,18.31,0
TXN1014062,929,22.89,2025-01-01 09:43:00,gas_station,international,web,13,0,31.27,0
