probability_of_default,expected_loss,credit_rating
0.2738,1493.25,E
0.1765,647.14,D
0.4777,1805.78,E
0.0556,256.3,C
0.8216,4671.67,E
0.289,1392.65,E
0.5574,754.82,E
0.9796,2521.42,E
0.1896,651.01,D
0.3972,893.6,E
0.3602,4118.11,E
0.1551,795.11,D
0.2567,1085.42,E
0.852,2586.84,E
0.4612,5066.61,E
0.8377,3941.32,E
0.1146,537.52,D
0.6369,3222.78,E
0.229,1463.34,E
0.2197,453.31,E
0.678,2356.85,E
0.9875,12150.73,E
0.9407,5213.21,E
0.8378,1608.0,E
0.9375,3014.37,E
0.0609,148.42,C
0.6608,1496.49,E
0.9483,5990.36,E
0.8605,5272.11,E
0.9454,3723.55,E
0.2939,1830.48,E
0.0383,374.27,B
0.0269,94.78,B
0.9485,11670.19,E
0.8256,2288.94,E
0.0671,386.99,C
0.8293,3546.28,E
0.9868,3025.3,E
0.0814,531.76,C
0.6601,4540.64,E
0.4078,1892.58,E
0.0055,15.66,A
0.9684,5611.45,E
0.1846,1274.72,D
0.5887,3593.77,E
0.1835,1127.57,D
0.7678,2709.73,E
0.8332,5144.33,E
0.7448,4382.44,E
0.1469,220.56,D
0.8973,2606.87,E
0.5462,4082.59,E
0.6175,2432.57,E
0.7284,1968.09,E
0.5237,2171.61,E
0.238,733.96,E
0.0234,154.77,B
0.4353,1997.78,E
0.1229,1147.62,D
0.814,1543.64,E
0.6344,3291.53,E
0.5786,1213.08,E
0.5646,1776.67,E
0.5867,4836.1,E
0.8203,3591.3,E
0.4372,2170.56,E
0.5227,2425.48,E
0.0436,166.69,B
0.4932,2444.16,E
0.8705,5777.09,E
0.6393,3436.6,E
0.24,892.23,E
0.8798,8213.33,E
0.843,7976.68,E
0.3584,559.6,E
0.1811,1776.29,D
0.4623,2075.01,E
0.7456,1451.62,E
0.4068,932.15,E
0.983,10997.59,E
0.2293,2402.17,E
0.3999,815.16,E
0.5961,1608.16,E
0.6985,3150.87,E
0.0665,150.8,C
0.1231,530.9,D
0.3135,446.02,E
0.2897,2952.35,E
0.5148,1878.26,E
0.1067,702.53,D
0.2734,3363.93,E
0.84,1817.79,E
0.9652,5232.95,E
0.9001,3539.97,E
0.79,3402.23,E
0.9614,4818.96,E
0.1924,830.07,D
0.2026,939.12,E
0.7255,695.19,E
0.4368,675.74,E
0.9323,2717.43,E
0.9969,12266.44,E
0.4141,2030.61,E
0.0215,124.39,B
0.2108,889.46,E
0.2648,2163.34,E
0.0336,329.48,B
0.994,5163.34,E
0.8462,1224.57,E
0.5029,6187.85,E
0.5925,3265.89,E
0.8819,3942.43,E
0.1664,775.51,D
0.3369,815.77,E
0.7535,4365.52,E
0.2785,794.04,E
0.2386,725.74,E
0.8492,6615.33,E
0.7537,950.71,E
0.906,2251.12,E
0.9903,8038.19,E
0.8875,10920.35,E
0.3126,3036.19,E
0.7603,4245.6,E
0.9535,5216.46,E
0.8894,3656.49,E
0.1367,626.04,D
0.8166,4051.23,E
0.1751,218.79,D
0.9871,11384.59,E
0.8428,1743.74,E
0.8003,1493.81,E
0.0367,97.89,B
0.9955,4335.3,E
0.0263,114.77,B
0.7541,4274.43,E
0.1419,1248.73,D
0.9763,3687.16,E
0.3217,1806.85,E
0.0677,454.4,C
0.7428,4612.61,E
0.4188,1052.5,E
0.2556,308.32,E
0.0515,633.73,C
0.3571,3167.16,E
0.9856,2061.7,E
0.6938,1891.03,E
0.0287,79.88,B
0.9786,5705.87,E
0.9961,6514.57,E
0.685,1121.84,E
0.1139,830.89,D
0.7424,4098.52,E
0.115,394.69,D
0.5797,3424.8,E
0.1764,1865.91,D
0.9209,2097.9,E
0.8341,5465.54,E
0.9243,11372.36,E
0.1528,627.62,D
0.7539,4372.32,E
0.9674,2821.85,E
0.4888,4366.17,E
0.8346,2211.84,E
0.5273,1681.31,E
0.0218,167.82,B
0.8823,4392.12,E
0.1508,1507.74,D
0.7335,1545.73,E
0.8811,4875.72,E
0.4707,2902.28,E
0.8766,4807.93,E
0.9937,4443.72,E
0.2671,1161.82,E
0.2474,284.62,E
0.9198,5561.01,E
0.5897,4968.79,E
0.6453,2199.45,E
0.1505,451.4,D
0.4162,1903.62,E
0.5701,6233.36,E
0.2885,1649.55,E
0.1761,794.59,D
0.195,517.03,D
0.9945,12236.96,E
0.9178,11292.42,E
0.2502,1228.69,E
0.1202,254.04,D
0.7378,4923.21,E
0.0231,35.13,B
0.9274,4521.97,E
0.0109,82.9,A
0.8464,4496.83,E
0.4508,1614.99,E
0.4298,1702.62,E
0.071,190.01,C
0.2192,2696.55,E
0.2574,1994.07,E
0.352,2201.09,E
0.633,2898.44,E
0.6444,3038.18,E
0.8374,3104.3,E
0.6496,5368.03,E
0.1669,670.35,D
0.3002,2327.04,E
0.9054,6070.05,E
0.3475,2169.33,E
0.9053,3910.98,E
0.9932,3138.68,E
0.7146,8792.39,E
0.754,9276.92,E
0.9296,1839.32,E
0.7057,2825.01,E
0.2706,2205.33,E
0.7467,3218.92,E
0.1891,469.46,D
0.9512,3749.93,E
0.3317,2960.65,E
0.2459,814.51,E
0.8896,2046.53,E
0.533,3376.94,E
0.074,404.45,C
0.6461,4642.17,E
0.4686,5766.16,E
0.6362,455.21,E
0.4942,2849.59,E
0.4622,1801.44,E
0.9952,10453.63,E
0.7438,2175.63,E
0.5679,6988.04,E
0.9318,11366.18,E
0.9098,2076.8,E
0.5057,2602.36,E
0.0782,277.72,C
0.4018,4943.32,E
0.9313,1722.51,E
0.4678,2811.56,E
0.763,2880.64,E
0.0554,204.46,C
0.0071,41.2,A
0.1671,753.67,D
0.9105,7402.83,E
0.595,2404.52,E
0.4182,2544.7,E
0.0211,169.87,B
0.8997,3802.62,E
